level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
3,M00245,FAB - DIN912 Black Screw Bag - M6x12,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01718,DIN912 M6x12 Black screw,14.00,M00245,FAB - DIN912 Black Screw Bag - M6x12,False
3,M00246,FAB - DIN912 Black Screw Bag - M6x16,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01704,DIN912 M6x16 Black screw,318.00,M00246,FAB - DIN912 Black Screw Bag - M6x16,False
3,M00247,FAB - DIN912 Black Screw Bag - M6x20,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00451,DIN912 M6x20 Black screw,66.00,M00247,FAB - DIN912 Black Screw Bag - M6x20,False
3,M00248,FAB - DIN912 Black Screw Bag - M6x25,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01748,DIN912 M6x25 Black screw,60.00,M00248,FAB - DIN912 Black Screw Bag - M6x25,False
3,M00258,FAB - ISO 7380 Black Screw Bag - M5x20,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00566,ISO 7380 M5x20 Black Screw,4.00,M00258,FAB - ISO 7380 Black Screw Bag - M5x20,False
3,M00259,FAB - ISO 7380 Black Screw Bag - M6x25,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00568,ISO 7380 M6x25 Black Screw,8.00,M00259,FAB - ISO 7380 Black Screw Bag - M6x25,False
3,M00261,FAB - ISO7379 Shoulder Screw Bag -10X45/M8,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00560,ISO 7379 M8x45 Shoulder Screw,2.00,M00261,FAB - ISO7379 Shoulder Screw Bag -10X45/M8,False
3,M00260,FAB - ISO7379 Shoulder Screw Bag - 12X50/M10,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00561,ISO 7379 M10x50 Shoulder Screw,2.00,M00260,FAB - ISO7379 Shoulder Screw Bag - 12X50/M10,False
3,M00231,FAB - DIN9021 Washer Bag - M4x12,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00423,DIN9021 Washer M4x12,14.00,M00231,FAB - DIN9021 Washer Bag - M4x12,False
3,M00232,FAB - DIN9021 Washer Bag - M5x15,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00424,DIN9021 Washer M5x15,6.00,M00232,FAB - DIN9021 Washer Bag - M5x15,False
3,M00233,FAB - DIN9021 Washer Bag - M6x18,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M01694,DIN9021 Washer M6x18,276.00,M00233,FAB - DIN9021 Washer Bag - M6x18,False
3,M00250,FAB - DIN985 Lock Nut Bag - M4,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00629,Lock Nut DIN985 M4,24.00,M00250,FAB - DIN985 Lock Nut Bag - M4,False
3,M00251,FAB - DIN985 Lock Nut Bag - M5,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00632,Lock Nut DIN985 M5,20.00,M00251,FAB - DIN985 Lock Nut Bag - M5,False
